   dates/labels,                posterior mean,        posterior 5\% quantile,       posterior 95\% quantile
        2020Mar,        1.1690727042140032e+00,        5.3670257487681283e-01,        1.7548654591521853e+00
        2020Apr,        1.1764500760448315e+00,        5.5257284274159701e-01,        1.7824211198475268e+00
        2020May,        1.1404567421963505e+00,        4.8115483571563544e-01,        1.7586969683957676e+00
        2020Jun,        1.1254640018952242e+00,        4.3869544992728038e-01,        1.7693047266875794e+00
        2020Jul,        1.0908932269965645e+00,        3.8903358715977099e-01,        1.7499783019923782e+00
        2020Aug,        1.0907399356584140e+00,        3.5496013908189639e-01,        1.7581346645654037e+00
        2020Sep,        1.1417993193240170e+00,        3.9644059855538671e-01,        1.8453997216197422e+00
        2020Oct,        1.2039902623222209e+00,        4.7474554004243430e-01,        1.9264533079839765e+00
        2020Nov,        1.2499881185344859e+00,        4.9883258433501787e-01,        2.0049729555633675e+00
        2020Dec,        1.2932066032904284e+00,        5.4238286674139147e-01,        2.0754250558048035e+00
        2021Jan,        1.3338756793128845e+00,        5.5197684389716883e-01,        2.1491535065420919e+00
        2021Feb,        1.2904434651215777e+00,        4.9410746416295126e-01,        2.1071112341484053e+00
        2021Mar,        1.2785369256290815e+00,        4.5280322847151666e-01,        2.1302045828813192e+00
        2021Apr,        1.2708455492855419e+00,        4.2266914747574802e-01,        2.1513289336123336e+00
        2021May,        1.2763449518610319e+00,        3.9654716989146621e-01,        2.1927492490680009e+00

