   dates/labels,                posterior mean,        posterior 5\% quantile,       posterior 95\% quantile
        1999Nov,        1.3133163191587518e+00,        8.7112451277969427e-01,        1.7556820462616933e+00
        1999Dec,        1.2309014975867558e+00,        7.9877201702015554e-01,        1.6597854205923852e+00
        2000Jan,        1.1369196216438426e+00,        6.9525720631926902e-01,        1.5701609055587653e+00
        2000Feb,        1.0955146283744583e+00,        6.3796598254928938e-01,        1.5391997491826608e+00
        2000Mar,        1.1333619365158172e+00,        6.6623930217100735e-01,        1.5826464830722990e+00
        2000Apr,        1.1976836979809116e+00,        7.4592162684135133e-01,        1.6407347521082727e+00
        2000May,        1.2800138898739835e+00,        8.0591934210064409e-01,        1.7454546905492947e+00
        2000Jun,        1.4476333380036335e+00,        9.8497867573350106e-01,        1.9039042608531673e+00
        2000Jul,        1.5238638457844325e+00,        1.0702071351794586e+00,        1.9856943341936457e+00
        2000Aug,        1.6288344146623994e+00,        1.1510649302350444e+00,        2.0990238587816350e+00
        2000Sep,        1.6781211031714531e+00,        1.1934334425154915e+00,        2.1511876632187636e+00
        2000Oct,        1.7182795806035305e+00,        1.2391434275533584e+00,        2.1960200368928069e+00
        2000Nov,        1.7277606783580064e+00,        1.2422365205709127e+00,        2.2216733662300214e+00
        2000Dec,        1.6682709520266279e+00,        1.1619208404674559e+00,        2.1823716301844485e+00
        2001Jan,        1.7761969147930152e+00,        1.2792223455601430e+00,        2.2783495280289716e+00
        2001Feb,        1.8981010629728323e+00,        1.3981128266360940e+00,        2.3964425719455207e+00
        2001Mar,        2.0451232157440371e+00,        1.5643980875838679e+00,        2.5322782940150148e+00
        2001Apr,        2.1996958194727227e+00,        1.7236820730615960e+00,        2.6617514704663847e+00
        2001May,        2.2910152458540902e+00,        1.8253509871580675e+00,        2.7543170655686424e+00
        2001Jun,        2.4114684831625186e+00,        1.9438928869595600e+00,        2.8820287873651580e+00
        2001Jul,        2.5073440649023868e+00,        2.0498439182576291e+00,        2.9542627969009279e+00
        2001Aug,        2.5436465235506245e+00,        2.0805054556092273e+00,        2.9971428098573085e+00
        2001Sep,        2.5912805020436038e+00,        2.1177649825782687e+00,        3.0459307850872790e+00
        2001Oct,        2.6547591210915238e+00,        2.1946302353815668e+00,        3.1336811609632491e+00
        2001Nov,        2.6679433874729668e+00,        2.1910268803978603e+00,        3.1407141328612340e+00
        2001Dec,        2.6923512934131688e+00,        2.2033532924799886e+00,        3.1797970879042339e+00
        2002Jan,        2.7353215300720337e+00,        2.2441271822372926e+00,        3.2344613683246166e+00
        2002Feb,        2.5797140862239405e+00,        2.1097944438185081e+00,        3.0420101418948917e+00
        2002Mar,        2.4274047946840738e+00,        1.9588819991355351e+00,        2.8825610584509747e+00
