DATE	CPIAUCSL	MEDCPIM158SFRBCLE	PCEPI	PCEPILFE	PCETRIM12M159SFRBDAL	TRMMEANCPIM158SFRBCLE
1976-03-01	56.000		29.486	30.195		
1976-04-01	56.100		29.553	30.312		
1976-05-01	56.400		29.695	30.456		
1976-06-01	56.700		29.824	30.579		
1976-07-01	57.000		29.975	30.748		
1976-08-01	57.300		30.140	30.925		
1976-09-01	57.600		30.310	31.106		
1976-10-01	57.900		30.469	31.258		
1976-11-01	58.100		30.607	31.401		
1976-12-01	58.400		30.778	31.571		
1977-01-01	58.700		30.957	31.763		
1977-02-01	59.300		31.199	31.958		
1977-03-01	59.600		31.356	32.094		
1977-04-01	60.000		31.538	32.253		
1977-05-01	60.200		31.698	32.417		
1977-06-01	60.500		31.875	32.611		
1977-07-01	60.800		32.041	32.813		
1977-08-01	61.100		32.190	32.973		
1977-09-01	61.300		32.311	33.113		
1977-10-01	61.600		32.461	33.273		
1977-11-01	62.000		32.648	33.445		
1977-12-01	62.300		32.806	33.618		
1978-01-01	62.700		33.000	33.819	5.70	
1978-02-01	63.000		33.153	33.949	5.57	
1978-03-01	63.400		33.368	34.133	5.55	
1978-04-01	63.900		33.621	34.354	5.71	
1978-05-01	64.500		33.861	34.556	5.90	
1978-06-01	65.000		34.082	34.749	5.91	
1978-07-01	65.500		34.269	34.953	5.99	
1978-08-01	65.900		34.442	35.141	6.04	
1978-09-01	66.500		34.638	35.343	6.22	
1978-10-01	67.100		34.913	35.603	6.54	
1978-11-01	67.500		35.112	35.794	6.65	
1978-12-01	67.900		35.276	35.934	6.71	
1979-01-01	68.500		35.542	36.118	7.03	
1979-02-01	69.200		35.732	36.235	7.22	
1979-03-01	69.900		36.011	36.444	7.25	
1979-04-01	70.600		36.386	36.780	7.26	
1979-05-01	71.400		36.763	37.100	7.35	
1979-06-01	72.200		37.066	37.308	7.39	
1979-07-01	73.000		37.349	37.495	7.50	
1979-08-01	73.700		37.635	37.744	7.68	
1979-09-01	74.400		37.967	38.002	7.80	
1979-10-01	75.200		38.276	38.279	7.89	
1979-11-01	76.000		38.542	38.524	7.89	
1979-12-01	76.900		38.866	38.801	8.04	
1980-01-01	78.000		39.273	39.095	8.15	
1980-02-01	79.000		39.699	39.485	8.35	
1980-03-01	80.100		40.186	39.851	8.60	
1980-04-01	80.900		40.396	40.056	8.56	
1980-05-01	81.700		40.710	40.378	8.56	
1980-06-01	82.500		40.967	40.646	8.72	
1980-07-01	82.600		41.285	40.932	8.60	
1980-08-01	83.200		41.629	41.228	8.57	
1980-09-01	83.900		42.014	41.616	8.67	
1980-10-01	84.700		42.351	41.959	8.57	
1980-11-01	85.600		42.696	42.289	8.64	
1980-12-01	86.400		42.973	42.544	8.64	
1981-01-01	87.200		43.386	42.912	8.59	
1981-02-01	88.000		43.825	43.226	8.60	
1981-03-01	88.600		44.130	43.466	8.41	
1981-04-01	89.100		44.323	43.744	8.50	
1981-05-01	89.700		44.522	44.045	8.32	
1981-06-01	90.500		44.699	44.265	8.07	
1981-07-01	91.500		44.969	44.532	8.10	
1981-08-01	92.200		45.250	44.830	8.01	
1981-09-01	93.100		45.524	45.124	7.82	
1981-10-01	93.400		45.730	45.393	7.62	
1981-11-01	93.800		45.976	45.658	7.41	
1981-12-01	94.100		46.118	45.826	7.14	
1982-01-01	94.400		46.392	46.108	6.83	
1982-02-01	94.700		46.531	46.286	6.38	
1982-03-01	94.700		46.651	46.488	6.20	
1982-04-01	95.000		46.675	46.672	5.86	
1982-05-01	95.900		46.951	46.927	5.77	
1982-06-01	97.000		47.292	47.162	5.74	
1982-07-01	97.500		47.572	47.468	5.76	
1982-08-01	97.700		47.720	47.686	5.49	
1982-09-01	97.700		47.852	47.863	5.13	
1982-10-01	98.100		48.121	48.166	5.06	
1982-11-01	98.000		48.265	48.344	4.78	
1982-12-01	97.700		48.338	48.498	4.61	
1983-01-01	97.900	5.01465339985201000	48.564	48.830	4.63	4.47400337414241000
1983-02-01	98.000	4.95254511658214000	48.646	49.011	4.57	3.99161646277042000
1983-03-01	98.100	3.61226055575943000	48.709	49.073	4.33	3.09958126069658000
1983-04-01	98.800	4.82805415199951950	48.931	49.222	4.47	4.91830616105030900
1983-05-01	99.200	3.76732629829308000	49.070	49.293	4.24	4.01151973262388000
1983-06-01	99.400	2.44129775124315000	49.253	49.523	4.06	3.10328350535351970
1983-07-01	99.800	3.69758219019019000	49.530	49.856	3.79	3.66123827677673000
1983-08-01	100.100	4.89699036825662050	49.743	50.113	3.70	4.05631427816704000
1983-09-01	100.400	4.83782787221898050	49.916	50.316	3.79	3.34542571409979000
1983-10-01	100.800	4.70970672176305000	50.002	50.405	3.56	4.15716739514018000
1983-11-01	101.100	4.88207173553306000	50.072	50.523	3.68	4.33668267569198000
1983-12-01	101.400	3.62676569355637970	50.100	50.560	3.63	3.36892657298127000
1984-01-01	102.100	4.85249045742944050	50.318	50.729	3.59	6.30984760153133000
1984-02-01	102.600	4.63237742879932050	50.656	51.049	3.64	4.56272576820707000
1984-03-01	102.900	3.92322616285670020	50.823	51.242	3.79	3.96922974688469000
1984-04-01	103.300	4.47375381987558000	51.016	51.483	3.78	5.00988404458735000
1984-05-01	103.500	3.39750480403012030	51.080	51.602	3.70	2.62178682319165000
1984-06-01	103.700	4.54047640450119000	51.171	51.724	3.71	3.09587913790226000
1984-07-01	104.100	4.70970672176305000	51.354	51.947	3.80	4.41156440313600900
1984-08-01	104.400	4.69130811372347000	51.512	52.118	3.88	5.06888418821854000
1984-09-01	104.700	4.47687654026121000	51.582	52.198	3.86	3.89215333974993000
1984-10-01	105.100	3.49653411864964970	51.704	52.315	3.94	3.86233144110562000
1984-11-01	105.300	2.60802524955723000	51.776	52.426	3.77	2.72751447416955000
1984-12-01	105.500	3.52031390413784970	51.922	52.634	3.88	3.16253542118343000
1985-01-01	105.700	3.07490272291309000	52.182	52.928	3.73	3.32069354698541060
1985-02-01	106.300	5.60339750649217000	52.424	53.204	3.82	5.42856072629094000
1985-03-01	106.800	4.71433813080059900	52.629	53.390	3.82	4.98227783988284900
1985-04-01	107.000	4.49361632464027000	52.706	53.453	3.61	3.17858834152527000
1985-05-01	107.200	3.30709306957033000	52.831	53.638	3.69	2.33093779183799030
1985-06-01	107.500	4.93736852619913000	52.974	53.815	3.75	4.35789433015896050
1985-07-01	107.700	2.43148344196247020	53.104	53.973	3.55	2.71521536653503000
1985-08-01	107.900	3.45963563464554950	53.280	54.237	3.54	2.07140946736262000
1985-09-01	108.100	3.44960801789345030	53.370	54.349	3.50	2.94912766294919000
1985-10-01	108.500	3.46285448524264040	53.459	54.436	3.46	3.70713552910791040
1985-11-01	109.000	5.39203871117875000	53.614	54.570	3.61	5.44115732871784000
1985-12-01	109.500	3.08316960669681000	53.795	54.718	3.62	4.52772847180650900
1986-01-01	109.900	4.42330037720973000	54.042	55.014	3.72	4.17460768734779000
1986-02-01	109.700	3.17019109552263000	54.042	55.156	3.47	1.50305626140093000
1986-03-01	109.100	4.38684814912311000	53.924	55.324	3.28	2.58861394450225000
1986-04-01	108.700	4.16962440517514000	53.813	55.424	3.33	2.85057867355418000
1986-05-01	109.000	2.24297330698615000	53.912	55.518	3.26	2.25620027008007000
1986-06-01	109.400	3.39428781716422000	54.112	55.685	3.24	4.20575824263458000
1986-07-01	109.500	4.01960626544133000	54.126	55.786	3.27	3.06256580319961000
1986-08-01	109.600	3.28286363623527000	54.194	55.901	3.19	3.32069354698541060
1986-09-01	110.000	4.00144311185120000	54.371	56.085	3.20	3.50507933017835960
1986-10-01	110.200	4.17062103943193000	54.469	56.274	3.27	3.42213024092950000
1986-11-01	110.400	4.60573723276012000	54.566	56.394	3.20	3.15512715323287000
1986-12-01	110.800	3.92745273377464000	54.640	56.466	3.13	3.73443450033988000
1987-01-01	111.400	5.35829784555726000	54.895	56.601	3.16	5.75020332086079900
1987-02-01	111.800	3.33775806350500000	55.088	56.714	3.22	3.39985593114571000
1987-03-01	112.200	3.79898557467320000	55.233	56.882	3.41	3.24405798777175970
1987-04-01	112.700	4.73286577001573100	55.439	57.123	3.57	5.39833509482912100
1987-05-01	113.000	4.50636041661250000	55.580	57.283	3.66	3.84493878880514030
1987-06-01	113.500	2.86855746715574970	55.791	57.441	3.60	3.56578203919899030
