date,mcpi_monthly_chg,mcpi_ann_monthly_chg
8/1/1999,.001947,2.400000095367432
9/1/1999,.002044,2.5
10/1/1999,.0014005,1.700000047683716
11/1/1999,.0018051,2.200000047683716
12/1/1999,.0021432,2.599999904632568
1/1/2000,.0031544999,3.900000095367432
2/1/2000,.0022922,2.799999952316284
3/1/2000,.0028037,3.400000095367432
4/1/2000,.0018779,2.299999952316284
5/1/2000,.0023473999,2.900000095367432
6/1/2000,.0025818001,3.099999904632568
7/1/2000,.0028194999,3.400000095367432
8/1/2000,.0023654001,2.900000095367432
9/1/2000,.0025220001,3.099999904632568
10/1/2000,.0022235001,2.700000047683716
11/1/2000,.0021834001,2.700000047683716
12/1/2000,.0027063999,3.299999952316284
1/1/2001,.0033352,4.099999904632568
2/1/2001,.0023338001,2.799999952316284
3/1/2001,.0024599,3
4/1/2001,.0025835,3.099999904632568
5/1/2001,.0028718,3.5
6/1/2001,.0028885,3.5
7/1/2001,.0020069,2.400000095367432
8/1/2001,.0031172,3.799999952316284
9/1/2001,.0022897001,2.799999952316284
10/1/2001,.0034216,4.199999809265137
11/1/2001,.0028250001,3.400000095367432
12/1/2001,.0020397,2.5
1/1/2002,.0022727,2.799999952316284
2/1/2002,.0027768,3.400000095367432
3/1/2002,.0023628999,2.900000095367432
4/1/2002,.0022034999,2.700000047683716
5/1/2002,.0019948001,2.400000095367432
6/1/2002,.0020619,2.5
7/1/2002,.0018519,2.200000047683716
8/1/2002,.0018851,2.299999952316284
9/1/2002,.0022370999,2.700000047683716
10/1/2002,.0019081,2.299999952316284
11/1/2002,.0015787,1.899999976158142
12/1/2002,.0024765001,3
1/1/2003,.0017999,2.200000047683716
2/1/2003,.0016318,2
3/1/2003,.00093370001,1.100000023841858
4/1/2003,.00045970001,.6000000238418579
5/1/2003,.00089209998,1.100000023841858
6/1/2003,.00093109999,1.100000023841858
7/1/2003,.0021991001,2.700000047683716
8/1/2003,.0019436,2.400000095367432
9/1/2003,.0016698,2
10/1/2003,.00173,2.099999904632568
11/1/2003,.00098330004,1.200000047683716
12/1/2003,.0014868,1.799999952316284
1/1/2004,.0018315,2.200000047683716
2/1/2004,.0023954001,2.900000095367432
3/1/2004,.0022505999,2.700000047683716
4/1/2004,.0020911,2.5
5/1/2004,.0026425,3.200000047683716
6/1/2004,.0022429,2.700000047683716
7/1/2004,.0014641,1.799999952316284
8/1/2004,.0023634001,2.900000095367432
9/1/2004,.0017715,2.099999904632568
10/1/2004,.0021905,2.700000047683716
11/1/2004,.0012251,1.5
12/1/2004,.0015822001,1.899999976158142
1/1/2005,.0028077001,3.400000095367432
2/1/2005,.0027125,3.299999952316284
3/1/2005,.0015673999,1.899999976158142
4/1/2005,.0017305,2.099999904632568
5/1/2005,.0026028,3.200000047683716
6/1/2005,.001344,1.600000023841858
7/1/2005,.0024895,3
8/1/2005,.0018332,2.200000047683716
9/1/2005,.0032935999,4
10/1/2005,.0027348001,3.299999952316284
11/1/2005,.0023339,2.799999952316284
12/1/2005,.0018191,2.200000047683716
1/1/2006,.0023723999,2.900000095367432
2/1/2006,.0017105,2.099999904632568
3/1/2006,.0025329001,3.099999904632568
4/1/2006,.0023745999,2.900000095367432
5/1/2006,.0035051,4.300000190734863
6/1/2006,.0026282,3.200000047683716
7/1/2006,.00251,3.099999904632568
8/1/2006,.0037719,4.599999904632568
9/1/2006,.0017385,2.099999904632568
10/1/2006,.0029925001,3.700000047683716
11/1/2006,.0024863,3
12/1/2006,.0022434001,2.700000047683716
1/1/2007,.0024373999,3
2/1/2007,.0036324,4.400000095367432
3/1/2007,.0022133,2.700000047683716
4/1/2007,.0019525,2.400000095367432
5/1/2007,.0019404,2.400000095367432
6/1/2007,.0026833999,3.299999952316284
7/1/2007,.0023268,2.799999952316284
8/1/2007,.0018025,2.200000047683716
9/1/2007,.0030358001,3.700000047683716
10/1/2007,.0028180999,3.400000095367432
11/1/2007,.0028510001,3.5
12/1/2007,.0024522,3
1/1/2008,.002696,3.299999952316284
2/1/2008,.0023506,2.900000095367432
3/1/2008,.0024991001,3
4/1/2008,.0018486,2.200000047683716
5/1/2008,.0020295,2.5
6/1/2008,.0033169,4.099999904632568
7/1/2008,.0032649999,4
8/1/2008,.0024176999,2.900000095367432
9/1/2008,.0026076001,3.200000047683716
10/1/2008,.0018165,2.200000047683716
11/1/2008,.0015994,1.899999976158142
12/1/2008,.0003024,.4000000059604645
1/1/2009,.0019813001,2.400000095367432
2/1/2009,.001769,2.099999904632568
3/1/2009,.0015765,1.899999976158142
4/1/2009,.0015379,1.899999976158142
5/1/2009,.0010718,1.299999952316284
6/1/2009,.00062770001,.800000011920929
7/1/2009,.0001048,.1000000014901161
8/1/2009,.0013446,1.600000023841858
9/1/2009,.00075880002,.8999999761581421
10/1/2009,.00098659995,1.200000047683716
11/1/2009,.00042900001,.5
12/1/2009,.00038320001,.5
1/1/2010,.00056499999,.699999988079071
2/1/2010,-.0000889,-.1000000014901161
3/1/2010,-.0002387,-.300000011920929
4/1/2010,.00037640001,.5
5/1/2010,.0002295,.300000011920929
6/1/2010,.0010478999,1.299999952316284
7/1/2010,.00052539998,.6000000238418579
8/1/2010,.00035779999,.4000000059604645
9/1/2010,.0012713,1.5
10/1/2010,.00093360001,1.100000023841858
11/1/2010,.001092,1.299999952316284
12/1/2010,.0011538001,1.399999976158142
1/1/2011,.0018749,2.299999952316284
2/1/2011,.0023177001,2.799999952316284
3/1/2011,.001442,1.700000047683716
4/1/2011,.0018553,2.200000047683716
5/1/2011,.0019015,2.299999952316284
6/1/2011,.0015916,1.899999976158142
7/1/2011,.0020900001,2.5
8/1/2011,.0026105,3.200000047683716
9/1/2011,.0020532999,2.5
10/1/2011,.0016698,2
11/1/2011,.0015263,1.799999952316284
12/1/2011,.0019574,2.400000095367432
1/1/2012,.00262679,3.200000047683716
2/1/2012,.00139307,1.700000047683716
3/1/2012,.0019948799,2.400000095367432
4/1/2012,.0018846201,2.299999952316284
5/1/2012,.00143206,1.700000047683716
6/1/2012,.00158778,1.899999976158142
7/1/2012,.00172006,2.099999904632568
8/1/2012,.0019977901,2.400000095367432
9/1/2012,.0018858199,2.299999952316284
10/1/2012,.00154927,1.899999976158142
11/1/2012,.00171061,2.099999904632568
12/1/2012,.0014801,1.799999952316284
1/1/2013,.0021845573,2.653196321050502
2/1/2013,.0019182044,2.326285935794887
3/1/2013,.0010097246,1.21842117035795
4/1/2013,.0018486237,2.241042955458797
5/1/2013,.0016352895,1.98009351763224
6/1/2013,.00194517,2.359338948685463
7/1/2013,.0015666421,1.896254212885934
8/1/2013,.0016037094,1.941516803046188
9/1/2013,.001778029,2.154624140675885
10/1/2013,.00098000956,1.182370985417553
11/1/2013,.002068571,2.510722206063282
12/1/2013,.0022375961,2.718408136688179
1/1/2014,.0019131521,2.320094177274773
2/1/2014,.0019308073,2.341732659495602
3/1/2014,.0024252455,2.949430098868329
4/1/2014,.0018742826,2.27246996701332
5/1/2014,.0022443542,2.726720074256805
6/1/2014,.0014756698,1.7852468507852
7/1/2014,.0021663797,2.630855551136916
8/1/2014,.0013250913,1.601749679221583
9/1/2014,.0019265126,2.336468650616787
10/1/2014,.0019317821,2.342927587414295
11/1/2014,.0015770287,1.908935307610499
12/1/2014,.0018526661,2.24599351102572
1/1/2015,.0016189812,1.960170453987244
2/1/2015,.0024531588,2.983835921240927
3/1/2015,.0022112601,2.686023062857508
4/1/2015,.0025445775,3.096591682923876
5/1/2015,.0017920691,2.171805974125164
6/1/2015,.0026031553,3.168901114141278
